,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,port arthur,38.8,121.27,75.2,69.0,75.0,4.0,CN,06/24/2020
1,mayya,61.73,130.28,75.2,38.0,0.0,1.0,RU,06/24/2020
3,klaksvik,62.23,-6.59,50.0,93.0,18.0,4.1,FO,06/24/2020
4,vestmannaeyjar,63.44,-20.27,50.18000000000004,89.0,2.0,2.4,IS,06/24/2020
5,kabansk,52.05,106.65,69.8,60.0,20.0,1.0,RU,06/24/2020
6,dikson,73.51,80.55,42.908,88.0,100.0,5.2,RU,06/24/2020
7,avarua,-21.21,-159.78,73.4,88.0,58.0,3.1,CK,06/24/2020
8,avera,33.19,-82.53,71.6,89.0,1.0,1.5,US,06/24/2020
9,ushuaia,-54.8,-68.3,35.6,93.0,90.0,5.1,AR,06/24/2020
10,nansio,-2.13,33.05,72.51800000000009,65.0,22.0,7.45,TZ,06/24/2020
11,wainwright,52.84,-110.86,64.22000000000006,74.0,67.0,2.01,CA,06/24/2020
12,huinan,42.62,126.26,74.75,55.0,0.0,2.93,CN,06/24/2020
13,mataura,-46.19,168.86,52.268000000000086,69.0,0.0,4.16,NZ,06/24/2020
14,daru,-9.08,143.21,80.99600000000005,84.0,28.0,6.5,PG,06/24/2020
15,rikitea,-23.12,-134.97,70.97000000000006,56.0,93.0,3.19,PF,06/24/2020
16,kapaa,22.08,-159.32,84.2,66.0,20.0,4.6,US,06/24/2020
17,narrabri,-30.32,149.78,53.99600000000005,62.0,90.0,3.6,AU,06/24/2020
20,jovellar,13.07,123.6,88.68200000000002,65.0,100.0,2.22,PH,06/24/2020
21,qaqortoq,60.72,-46.03,42.8,87.0,100.0,2.16,GL,06/24/2020
22,salalah,17.02,54.09,82.4,88.0,75.0,1.0,OM,06/24/2020
23,albany,42.6,-73.97,71.99600000000005,85.0,1.0,2.12,US,06/24/2020
24,provideniya,64.38,-173.3,42.8,70.0,75.0,6.0,RU,06/24/2020
25,hithadhoo,-0.6,73.08,83.89400000000008,75.0,99.0,4.39,MV,06/24/2020
26,bluff,-46.6,168.33,51.74600000000005,76.0,2.0,7.66,NZ,06/24/2020
27,odweyne,9.41,45.06,72.33800000000005,65.0,0.0,6.45,SO,06/24/2020
28,vaini,-21.2,-175.2,77.0,73.0,75.0,3.6,TO,06/24/2020
29,maceio,-9.67,-35.74,73.4,94.0,75.0,1.0,BR,06/24/2020
30,lincoln,40.8,-96.67,80.6,44.0,1.0,3.6,US,06/24/2020
31,bredasdorp,-34.53,20.04,48.2,93.0,0.0,1.84,ZA,06/24/2020
32,hermanus,-34.42,19.23,46.004000000000055,93.0,0.0,5.03,ZA,06/24/2020
33,rabo de peixe,37.8,-25.58,60.8,77.0,40.0,3.6,PT,06/24/2020
34,tuktoyaktuk,69.45,-133.04,44.6,70.0,75.0,5.1,CA,06/24/2020
35,sungaipenuh,-2.08,101.38,75.72200000000004,61.0,64.0,0.28,ID,06/24/2020
36,san quintin,30.48,-115.95,65.04800000000003,80.0,31.0,4.68,MX,06/24/2020
37,la malbaie,47.66,-70.16,62.18600000000007,74.0,0.0,4.04,CA,06/24/2020
38,lebu,-37.62,-73.65,45.30200000000008,85.0,0.0,2.18,CL,06/24/2020
39,saint-augustin,51.23,-58.65,59.702000000000076,94.0,38.0,5.71,CA,06/24/2020
40,arcata,40.87,-124.08,66.2,68.0,1.0,8.7,US,06/24/2020
41,umm kaddadah,13.6,26.69,82.61600000000001,52.0,41.0,7.34,SD,06/24/2020
42,los llanos de aridane,28.66,-17.92,71.6,73.0,90.0,6.7,ES,06/24/2020
45,arraial do cabo,-22.97,-42.03,68.0,88.0,0.0,3.1,BR,06/24/2020
46,havoysund,71.0,24.66,50.0,76.0,82.0,5.7,NO,06/24/2020
47,oriximina,-1.77,-55.87,77.19800000000002,83.0,100.0,1.64,BR,06/24/2020
48,luderitz,-26.65,15.16,64.4,45.0,0.0,1.0,NA,06/24/2020
49,chuncheng,22.17,111.79,91.00400000000005,63.0,100.0,4.64,CN,06/24/2020
50,moroni,-11.7,43.26,75.90200000000007,79.0,9.0,6.39,KM,06/24/2020
51,saint-philippe,-21.36,55.77,68.0,72.0,20.0,2.1,RE,06/24/2020
52,mapiri,-15.25,-68.17,69.06200000000005,90.0,77.0,0.41,BO,06/24/2020
53,vardo,70.37,31.11,47.39000000000002,81.0,12.0,4.71,NO,06/24/2020
54,nanortalik,60.14,-45.24,42.944000000000074,80.0,100.0,2.13,GL,06/24/2020
55,khatanga,71.97,102.5,84.23600000000008,25.0,100.0,6.13,RU,06/24/2020
56,cape town,-33.93,18.42,62.99600000000005,76.0,75.0,4.1,ZA,06/24/2020
57,goure,13.98,10.27,87.00800000000001,37.0,93.0,2.24,NE,06/24/2020
58,noumea,-22.28,166.46,78.8,54.0,0.0,4.1,NC,06/24/2020
60,dunedin,-45.87,170.5,48.00200000000008,89.0,97.0,5.93,NZ,06/24/2020
61,chokurdakh,70.63,147.92,78.674,30.0,0.0,5.23,RU,06/24/2020
62,prince rupert,54.32,-130.32,57.2,76.0,1.0,4.6,CA,06/24/2020
